Year,Film,Nominee,Win,SRT uploaded,
1955,Mr. Hulot's Holiday,Henri Marquet & Jacques Tati,0,,
1955,The Seven Little Foys,Melville Shavelson & Jack Rose,0,,
1956,The Red Balloon,Albert Lamorisse‡,1,,
1956,The Bold and the Brave,Robert Lewin,0,,
1956,Julie,Andrew L. Stone,0,,
1956,La Strada,Federico Fellini & Tullio Pinelli,0,✓,
1956,The Ladykillers,William Rose,0,✓,
1957,Designing Woman,George Wells‡,1,✓,
1957,Funny Face,Leonard Gershe,0,✓,
1957,Man of a Thousand Faces,"Screenplay: Robert Campbell, Ivan Goff & Ben Roberts; Story: Ralph Wheelwright",0,✓,
1957,The Tin Star,Screenplay: Dudley Nichols; Story: Joel Kane & Barney Slater,0,✓,
1957,I Vitelloni,"Screenplay: Federico Fellini & Ennio Flaiano; Story: Fellini, Flaiano & Tullio Pinelli",0,✓,
1958,The Defiant Ones,Nedrick Young & Harold Jacob Smith‡ [note 2],1,✓,
1958,The Goddess,Paddy Chayefsky,0,,
1958,Houseboat,Melville Shavelson & Jack Rose,0,✓,
1958,The Sheepman,Screenplay: William Bowers & James Edward Grant; Story: Grant,0,✓,
1958,Teacher's Pet,Fay Kanin & Michael Kanin,0,✓,
1959,Pillow Talk,Screenplay: Stanley Shapiro & Maurice Richlin; Story: Clarence Greene & Russell Rouse‡,1,✓,
1959,The 400 Blows,Marcel Moussy & François Truffaut,0,✓,
1959,North by Northwest,Ernest Lehman,0,✓,
1959,Operation Petticoat,Screenplay: Shapiro & Richlin; Story: Paul King & Joseph Stone,0,✓,
1959,Wild Strawberries,Ingmar Bergman,0,✓,
1960,The Apartment,I. A. L. Diamond & Billy Wilder‡,1,✓,
1960,The Angry Silence,Screenplay: Bryan Forbes; Story: Michael Craig & Richard Gregson,0,✓,
1960,The Facts of Life,Melvin Frank & Norman Panama,0,,
1960,"Hiroshima, Mon Amour",Marguerite Duras,0,✓,
1960,Never on Sunday,Jules Dassin,0,✓,
1961,Splendor in the Grass,William Inge‡,1,✓,
1961,Ballad of a Soldier,Grigory Chukhray & Valentin Yezhov,0,✓,
1961,General Della Rovere,"Sergio Amidei, Diego Fabbi & Indro Montanelli",0,✓,
1961,La Dolce Vita,"Federico Fellini, Ennio Flaiano, Tullio Pinelli & Brunello Rondi",0,✓,
1961,Lover Come Back,Paul Henning & Stanley Shapiro,0,✓,
1962,Divorce Italian Style,"Ennio de Concini, Pietro Germi & Alfredo Giannetti‡",1,✓,
1962,Freud,Screenplay: Charles Kaufman & Wolfgang Reinhardt; Story: Kaufman,0,✓,
1962,Last Year at Marienbad,Alain Robbe-Grillet,0,✓,
1962,That Touch of Mink,Nate Monaster & Stanley Shapiro,0,✓,
1962,Through a Glass Darkly,Ingmar Bergman,0,✓,
1963,How the West Was Won,James R. Webb‡,1,✓,
1963,America America,Elia Kazan,0,,
1963,8½,"Federico Fellini, Ennio Flaiano, Tullio Pinelli & Brunello Rondi",0,,
1963,The Four Days of Naples,"Screenplay: Carlo Bernari, Pasquale Festa Campanile, Massimo Franciosa & Nanni Loy; Story: Campanile, Franciosa, Loy & Vasco Pratolini",0,✓,
1963,Love with the Proper Stranger,Arnold Schulman,0,✓,
1964,Father Goose,Screenplay: Peter Stone & Frank Tarloff; Story: S. H. Barnett ‡,1,✓,
1964,A Hard Day's Night,Alun Owen,0,✓,
1964,"One Potato, Two Potato",Screenplay: Orville H. Hampton; Story: Raphael Hayes,0,,
1964,The Organizer,"Age, Mario Monicelli & Furio Scarpelli",0,,
1964,That Man from Rio,"Daniel Boulanger, Philippe de Broca, Ariane Mnouchkine & Jean-Paul Rappeneau",0,,
1965,Darling,Frederic Raphael‡,1,,
1965,Casanova 70,"Age, Suso Cecchi d'Amico, Tonino Guerra, Mario Monicelli, Giorgio Salvioni & Furio Scarpelli",0,,
1965,Those Magnificent Men in Their Flying Machines,Ken Annakin & Jack Davies,0,,
1965,The Train,Franklin Coen & Frank Davis,0,,
1965,The Umbrellas of Cherbourg,Jacques Demy,0,,
1966,A Man and a Woman,Screenplay: Claude Lelouch & Pierre Uytterhoeven; Story: Lelouch ‡,1,,
1966,Blowup,"Screenplay: Michelangelo Antonioni, Edward Bond & Tonino Guerra; Story: Antonioni",0,,
1966,The Fortune Cookie,I. A. L. Diamond & Billy Wilder,0,✓,
1966,Khartoum,Robert Ardrey,0,✓,
1966,The Naked Prey,Clint Johnston & Don Peters,0,✓,
1967,Guess Who's Coming to Dinner,William Rose‡,1,✓,
1967,Bonnie and Clyde,Robert Benton & David Newman,0,✓,
1967,Divorce American Style,Screenplay: Norman Lear; Story: Robert Kaufman,0,,
1967,La Guerre Est Finie,Jorge Semprún,0,,
1967,Two for the Road,Frederic Raphael,0,,
1968,The Producers,Mel Brooks‡,1,,
1968,The Battle of Algiers,Gillo Pontecorvo & Franco Solinas,0,,
1968,Faces,John Cassavetes,0,✓,
1968,Hot Millions,Peter Ustinov & Ira Wallach,0,,
1968,2001: A Space Odyssey,Arthur C. Clarke & Stanley Kubrick,0,✓,
1969,Butch Cassidy and the Sundance Kid,William Goldman‡,1,✓,
1969,Bob & Carol & Ted & Alice,Paul Mazursky & Larry Tucker,0,,
1969,The Damned,"Screenplay: Nicola Badalucco, Enrico Medioli & Luchino Visconti; Story: Badalucco",0,✓,
1969,Easy Rider,"Peter Fonda, Dennis Hopper & Terry Southern",0,✓,
1969,The Wild Bunch,Screenplay: Walon Green & Sam Peckinpah; Story: Green & Roy N. Sickner,0,✓,
1970,Patton,Francis Ford Coppola & Edmund H. North‡,1,✓,
1970,Five Easy Pieces,Screenplay: Carole Eastman; Story: Eastman & Bob Rafelson,0,✓,
1970,Joe,Norman Wexler,0,✓,
1970,Love Story,Erich Segal,0,✓,
1970,My Night at Maud's,Éric Rohmer,0,,
1971,The Hospital,Paddy Chayefsky‡,1,✓,
1971,Investigation of a Citizen Above Suspicion,Elio Petri & Ugo Pirro,0,,
1971,Klute,Andy & David Lewis,0,✓,
1971,Summer of '42,Herman Raucher,0,✓,
1971,Sunday Bloody Sunday,Penelope Gilliatt,0,✓,
1972,The Candidate,Jeremy Larner‡,1,✓,
1972,The Discreet Charm of the Bourgeoisie,Screenplay & Story: Luis Buñuel; Collaboration: Jean-Claude Carrière,0,✓,
1972,Lady Sings the Blues,"Chris Clark, Suzanne de Passe & Terrence McCloy",0,✓,
1972,Murmur of the Heart,Louis Malle,0,✓,
1972,Young Winston,Carl Foreman,0,✓,
1973,The Sting,David S. Ward‡,1,✓,
1973,American Graffiti,"Willard Huyck, George Lucas & Gloria Katz",0,✓,
1973,Cries and Whispers,Ingmar Bergman,0,,
1973,Save the Tiger,Steve Shagan,0,✓,
1973,A Touch of Class,Melvin Frank & Jack Rose,0,✓,
1974,Chinatown,Robert Towne‡,1,✓,
1974,Alice Doesn't Live Here Anymore,Robert Getchell,0,No english?,
1974,The Conversation,Francis Ford Coppola,0,✓,
1974,Day for Night,"Jean-Louis Richard, Suzanne Schiffman & François Truffaut",0,✓,
1974,Harry and Tonto,Josh Greenfeld & Paul Mazursky,0,✓,
1975,Dog Day Afternoon,Frank Pierson‡,1,✓,
1975,Amarcord,Federico Fellini & Tonino Guerra,0,✓,
1975,And Now My Love,Claude Lelouch & Pierre Uytterhoeven,0,,
1975,Lies My Father Told Me,Ted Allan,0,,
1975,Shampoo,Robert Towne & Warren Beatty,0,✓,
1976,Network,Paddy Chayefsky‡,1,✓,
1976,"Cousin, Cousine",Screenplay & Story: Jean-Charles Tacchella Adaptation: Daniele Thompson,0,,
1976,The Front,Walter Bernstein,0,✓,
1976,Rocky,Sylvester Stallone,0,✓,
1976,Seven Beauties,Lina Wertmüller,0,✓,
1977,Annie Hall,Woody Allen & Marshall Brickman,1,✓,
1977,The Goodbye Girl,Neil Simon,0,✓,
1977,The Late Show,Robert Benton,0,,
1977,Star Wars,George Lucas,0,✓,
1977,The Turning Point,Arthur Laurents,0,✓,
1978,Coming Home,Screenplay: Robert C. Jones‡ & Waldo Salt; Story: Nancy Dowd ‡,1,✓,
1978,Autumn Sonata,Ingmar Bergman,0,No english?,
1978,The Deer Hunter,"Screenplay: Deric Washburn; Story: Michael Cimino, Louis Garfinkle, Quinn Redeker & Washburn",0,✓,
1978,Interiors,Woody Allen,0,✓,
1978,An Unmarried Woman,Paul Mazursky,0,✓,
1979,Breaking Away,Steve Tesich‡,1,✓,
1979,All That Jazz,Robert Alan Aurthur & Bob Fosse,0,✓,
1979,...And Justice for All.,Valerie Curtin & Barry Levinson,0,✓,
1979,The China Syndrome,"James Bridges, T. S. Cook & Mike Gray",0,✓,
1979,Manhattan,Woody Allen & Marshall Brickman,0,✓,
1980,Melvin and Howard,Bo Goldman‡,1,✓,
1980,Brubaker,Screenplay: W. D. Richter; Story: Richter & Arthur A. Ross,0,✓,
1980,Fame,Christopher Gore,0,✓,
1980,Mon oncle d'Amérique,Jean Gruault,0,,
1980,Private Benjamin,"Nancy Meyers, Harvey Miller & Charles Shyer",0,✓,
1981,Chariots of Fire,Colin Welland‡,1,✓,
1981,Absence of Malice,Kurt Luedtke,0,✓,
1981,Arthur,Steve Gordon,0,✓,
1981,Atlantic City,John Guare,0,✓,
1981,Reds,Trevor Griffiths & Warren Beatty,0,✓,
Casey ^,Wally v,,,,
1982,Gandhi,John Briley‡,1,✓,
1982,Diner,Barry Levinson,0,✓,
1982,E.T. the Extra-Terrestrial,Melissa Mathison,0,✓,
1982,An Officer and a Gentleman,Douglas Day Stewart,0,✓,
1982,Tootsie,Screenplay: Larry Gelbart & Murray Schisgal; Story: Gelbart & Don McGuire,0,✓,
1983,Tender Mercies,Horton Foote‡,1,✓,
1983,The Big Chill,Barbara Benedek & Lawrence Kasdan,0,✓,
1983,Fanny and Alexander,Ingmar Bergman,0,✓,
1983,Silkwood,Alice Arlen & Nora Ephron,0,✓,
1983,WarGames,Lawrence Lasker & Walter Parkes,0,✓,
1984,Places in the Heart,Robert Benton‡,1,✓,
1984,Beverly Hills Cop,Screenplay: Daniel Petrie Jr.; Story: Danilo Bach & Petrie,0,✓,
1984,Broadway Danny Rose,Woody Allen,0,✓,
1984,El Norte,Gregory Nava & Anna Thomas,0,✓,
1984,Splash,"Screenplay: Bruce Jay Friedman, Lowell Ganz & Babaloo Mandel; Story: Friedman & Brian Grazer",0,✓,
1985,Witness,"Screenplay: William Kelley & Earl W. Wallace; Story: Kelley, E. Wallace & Pamela Wallace ‡",1,✓,
1985,Back to the Future,Bob Gale & Robert Zemeckis,0,✓,
1985,Brazil,"Terry Gilliam, Charles McKeown & Tom Stoppard",0,✓,
1985,The Official Story,Aída Bortnik & Luis Puenzo,0,✓,
1985,The Purple Rose of Cairo,Woody Allen,0,✓,
1986,Hannah and Her Sisters,Woody Allen‡,1,✓,
1986,Crocodile Dundee,"Screenplay: John Cornell, Paul Hogan & Ken Shadie; Story: Hogan",0,✓,
1986,My Beautiful Laundrette,Hanif Kureishi,0,✓,
1986,Platoon,Oliver Stone,0,✓,
1986,Salvador,Richard Boyle & Stone,0,✓,
1987,Moonstruck,John Patrick Shanley‡,1,✓,
1987,"Au Revoir Les Enfants (Goodbye, Children)",Louis Malle,0,✓,
1987,Broadcast News,James L. Brooks,0,✓,
1987,Hope and Glory,John Boorman,0,✓,
1987,Radio Days,Woody Allen,0,✓,
1988,Rain Man,Screenplay: Ronald Bass & Barry Morrow; Story: Morrow ‡,1,✓,
1988,Big,Gary Ross & Anne Spielberg,0,✓,
1988,Bull Durham,Ron Shelton,0,✓,
1988,A Fish Called Wanda,Screenplay: John Cleese; Story: Cleese & Charles Crichton,0,✓,
1988,Running on Empty,Naomi Foner Gyllenhaal,0,✓,
1989,Dead Poets Society,Tom Schulman‡,1,✓,
1989,Crimes and Misdemeanors,Woody Allen,0,✓,
1989,Do the Right Thing,Spike Lee,0,✓,
1989,"Sex, Lies, and Videotape",Steven Soderbergh,0,✓,
1989,When Harry Met Sally...,Nora Ephron,0,✓,
1990,Ghost,Bruce Joel Rubin‡,1,N/A,
1990,Alice,Woody Allen,0,✓,
1990,Avalon,Barry Levinson,0,✓,
1990,Green Card,Peter Weir,0,✓,
1990,Metropolitan,Whit Stillman,0,✓,
1991,Thelma & Louise,Callie Khouri‡,1,✓,
1991,Boyz n the Hood,John Singleton,0,✓,
1991,Bugsy,James Toback,0,✓,
1991,The Fisher King,Richard LaGravenese,0,✓,
1991,Grand Canyon,Lawrence Kasdan & Meg Kasdan,0,✓,
1992,The Crying Game,Neil Jordan‡,1,✓,
1992,Husbands and Wives,Woody Allen,0,✓,
1992,Lorenzo's Oil,Nick Enright & George Miller,0,✓,
1992,Passion Fish,John Sayles,0,✓,
1992,Unforgiven,David Peoples,0,✓,
1993,The Piano,Jane Campion‡,1,✓,
1993,Dave,Gary Ross,0,✓,
1993,In the Line of Fire,Jeff Maguire,0,✓,
1993,Philadelphia,Ron Nyswaner,0,✓,
1993,Sleepless in Seattle,"Screenplay: Jeff Arch, Nora Ephron & David S. Ward; Story: Arch",0,✓,
1994,Pulp Fiction,Screenplay: Quentin Tarantino; Story: Roger Avary & Tarantino ‡,1,✓,
1994,Bullets over Broadway,Woody Allen & Douglas McGrath,0,✓,
1994,Four Weddings and a Funeral,Richard Curtis,0,✓,
1994,Heavenly Creatures,Peter Jackson & Frances Walsh,0,✓,
1994,Three Colours: Red,Krzysztof Kieślowski & Krzysztof Piesiewicz,0,✓,
1995,The Usual Suspects,Christopher McQuarrie‡,1,✓,
1995,Braveheart,Randall Wallace,0,✓,
1995,Mighty Aphrodite,Woody Allen,0,✓,
1995,Nixon,"Stephen J. Rivele, Oliver Stone & Christopher Wilkinson",0,✓,
1995,Toy Story,"Screenplay: Joel Cohen, Alec Sokolow, Andrew Stanton & Joss Whedon; Story: Pete Docter, John Lasseter, Joe Ranft & Stanton",0,✓,
1996,Fargo,Coen Brothers‡,1,✓,
1996,Jerry Maguire,Cameron Crowe,0,✓,
1996,Lone Star,John Sayles,0,✓,
1996,Secrets & Lies,Mike Leigh,0,✓,
1996,Shine,Screenplay: Jan Sardi; Story: Scott Hicks,0,✓,
1997,Good Will Hunting,Ben Affleck & Matt Damon‡,1,✓,
1997,As Good as It Gets,Screenplay: Mark Andrus & James L. Brooks; Story: Andrus,0,✓,
1997,Boogie Nights,Paul Thomas Anderson,0,✓,
1997,Deconstructing Harry,Woody Allen,0,✓,
1997,The Full Monty,Simon Beaufoy,0,✓,
1998,Shakespeare in Love,Marc Norman & Tom Stoppard‡,1,✓,
1998,Bulworth,Screenplay: Warren Beatty & Jeremy Pikser; Story: Beatty,0,✓,
1998,Life Is Beautiful,Roberto Benigni & Vincenzo Cerami,0,✓,
1998,Saving Private Ryan,Robert Rodat,0,✓,
1998,The Truman Show,Andrew Niccol,0,✓,
1999,American Beauty,Alan Ball‡,1,✓,
1999,Being John Malkovich,Charlie Kaufman,0,✓,
1999,Magnolia,Paul Thomas Anderson,0,✓,
1999,The Sixth Sense,M. Night Shyamalan,0,✓,
1999,Topsy-Turvy,Mike Leigh,0,✓,
2000,Almost Famous,Cameron Crowe‡,1,✓,
2000,Billy Elliot,Lee Hall,0,✓,
2000,Erin Brockovich,Susannah Grant,0,✓,
2000,Gladiator,"Screenplay: David Franzoni, John Logan & William Nicholson; Story: Franzoni",0,✓,
2000,You Can Count on Me,Kenneth Lonergan,0,✓,
2001,Gosford Park,Julian Fellowes‡,1,✓,
2001,Amélie,Screenplay: Jean-Pierre Jeunet & Guillaume Laurant; Dialogue: Laurant,0,✓,
2001,Memento,Screenplay: Christopher Nolan; Story: Jonathan Nolan,0,✓,
2001,Monster's Ball,Milo Addica & Will Rokos,0,✓,
2001,The Royal Tenenbaums,Wes Anderson & Owen Wilson,0,✓,
2002,Talk to Her,Pedro Almodóvar‡,1,✓,
2002,Far from Heaven,Todd Haynes,0,✓,
2002,Gangs of New York,"Screenplay: Jay Cocks, Kenneth Lonergan & Steven Zaillian; Story: Cocks",0,✓,
2002,My Big Fat Greek Wedding,Nia Vardalos,0,✓,
2002,Y Tu Mamá También,Alfonso & Carlos Cuarón,0,✓,SpanisH? Check
2003,Lost in Translation,Sofia Coppola‡,1,✓,
2003,The Barbarian Invasions,Denys Arcand,0,✓,
2003,Dirty Pretty Things,Steven Knight,0,✓,
2003,Finding Nemo,"Screenplay: Bob Peterson, David Reynolds & Andrew Stanton; Story: Stanton",0,✓,
2003,In America,"Jim, Kirsten & Naomi Sheridan",0,✓,
2004,Eternal Sunshine of the Spotless Mind,"Screenplay: Charlie Kaufman; Story: Pierre Bismuth, Michel Gondry & Kaufman ‡",1,✓,
2004,The Aviator,John Logan,0,✓,
2004,Hotel Rwanda,Terry George & Keir Pearson,0,✓,
2004,The Incredibles,Brad Bird,0,✓,
2004,Vera Drake,Mike Leigh,0,✓,
2005,Crash,Screenplay: Paul Haggis & Bobby Moresco; Story: Haggis ‡,1,✓,
2005,"Good Night, and Good Luck.",George Clooney & Grant Heslov,0,✓,
2005,Match Point,Woody Allen,0,✓,
2005,The Squid and the Whale,Noah Baumbach,0,✓,
2005,Syriana,Stephen Gaghan,0,✓,
2006,Little Miss Sunshine,Michael Arndt‡,1,✓,
2006,Babel,Guillermo Arriaga,0,✓,
2006,Letters from Iwo Jima,Screenplay: Iris Yamashita; Story: Paul Haggis & Yamashita,0,✓,
2006,Pan's Labyrinth,Guillermo del Toro,0,✓,
2006,The Queen,Peter Morgan,0,✓,
2007,Juno,Diablo Cody‡,1,✓,
2007,Lars and the Real Girl,Nancy Oliver,0,✓,
2007,Michael Clayton,Tony Gilroy,0,✓,
2007,Ratatouille,"Screenplay: Brad Bird; Story: Bird, Jim Capobianco & Jan Pinkava",0,✓,
2007,The Savages,Tamara Jenkins,0,✓,
2008,Milk,Dustin Lance Black‡,1,✓,
2008,Frozen River,Courtney Hunt,0,✓,
2008,Happy-Go-Lucky,Mike Leigh,0,✓,
2008,In Bruges,Martin McDonagh,0,✓,
2008,WALL-E,Screenplay: Jim Reardon & Andrew Stanton; Story: Pete Docter & Stanton,0,✓,
2009,The Hurt Locker,Mark Boal‡,1,✓,
2009,Inglourious Basterds,Quentin Tarantino,0,✓,
2009,The Messenger,Alessandro Camon & Oren Moverman,0,✓,
2009,A Serious Man,Coen Brothers,0,✓,
2009,Up,"Screenplay: Pete Docter & Bob Peterson; Story: Docter, Peterson & Tom McCarthy",0,✓,
2010,The King's Speech,David Seidler‡,1,✓,
2010,Another Year,Mike Leigh,0,✓,
2010,The Fighter,"Screenplay: Eric Johnson, Scott Silver & Paul Tamasy; Story: Keith Dorrington, Johnson & Tamasy",0,✓,
2010,Inception,Christopher Nolan,0,✓,
2010,The Kids Are All Right,Stuart Blumberg & Lisa Cholodenko,0,✓,
2011,Midnight in Paris,Woody Allen‡,1,✓,
2011,The Artist,Michel Hazanavicius,0,✓,
2011,Bridesmaids,Annie Mumolo & Kristen Wiig,0,✓,
2011,Margin Call,J. C. Chandor,0,✓,
2011,A Separation,Asghar Farhadi,0,✓,
2012,Django Unchained,Quentin Tarantino‡,1,✓,
2012,Amour,Michael Haneke,0,✓,
2012,Flight,John Gatins,0,✓,
2012,Moonrise Kingdom,Wes Anderson & Roman Coppola,0,✓,
2012,Zero Dark Thirty,Mark Boal,0,✓,
2013,Her,Spike Jonze‡,1,✓,
2013,American Hustle,David O. Russell & Eric Warren Singer,0,✓,
2013,Blue Jasmine,Woody Allen,0,✓,
2013,Dallas Buyers Club,Craig Borten & Melisa Wallack,0,✓,
2013,Nebraska,Bob Nelson,0,✓,
2014,Birdman,"Armando Bo, Alexander Dinelaris Jr., Nicolás Giacobone & Alejandro G. Iñárritu‡",1,✓,
2014,Boyhood,Richard Linklater,0,✓,
2014,Foxcatcher,E. Max Frye & Dan Futterman,0,✓,
2014,The Grand Budapest Hotel,Screenplay: Wes Anderson; Story: Anderson & Hugo Guinness,0,✓,
2014,Nightcrawler,Dan Gilroy,0,✓,
2015,Spotlight,Josh Singer & Tom McCarthy‡,1,✓,
2015,Bridge of Spies,Matt Charman & Coen Brothers,0,✓,
2015,Ex Machina,Alex Garland,0,✓,
2015,Inside Out,"Screenplay: Josh Cooley, Pete Docter & Meg LeFauve; Story: Ronnie del Carmen & Docter",0,✓,
2015,Straight Outta Compton,"Screenplay: Andrea Berloff & Jonathan Herman; Story: Berloff, S. Leigh Savidge & Alan Wenkus",0,✓,
2016,Manchester by the Sea,Kenneth Lonergan‡,1,✓,
2016,Hell or High Water,Taylor Sheridan,0,✓,
2016,La La Land,Damien Chazelle,0,✓,
2016,The Lobster,Efthimis Filippou & Yorgos Lanthimos,0,✓,
2016,20th Century Women,Mike Mills,0,✓,
2017,Get Out,Jordan Peele‡,1,✓,
2017,The Big Sick,Emily V. Gordon & Kumail Nanjiani,0,✓,
2017,Lady Bird,Greta Gerwig,0,✓,
2017,The Shape of Water,Screenplay: Guillermo del Toro & Vanessa Taylor; Story: del Toro,0,✓,
2017,"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,0,✓,
2018,Green Book,"Brian Currie, Peter Farrelly & Nick Vallelonga‡",1,✓,
2018,The Favourite,Deborah Davis & Tony McNamara,0,✓,
2018,First Reformed,Paul Schrader,0,✓,
2018,Roma,Alfonso Cuarón,0,✓,
2018,Vice,Adam McKay,0,✓,
2019,Parasite,Screenplay: Bong Joon-ho & Han Jin-won; Story: Bong‡,1,✓,
2019,Knives Out,Rian Johnson,0,✓,
2019,Marriage Story,Noah Baumbach,0,✓,
2019,1917,Sam Mendes & Krysty Wilson-Cairns,0,✓,
2019,Once Upon a Time in Hollywood,Quentin Tarantino,0,✓,
2020,Promising Young Woman,Emerald Fennell‡,1,✓,
2020,Judas and the Black Messiah,"Screenplay: Will Berson & Shaka King; Story: Berson, King, Keith & Kenny Lucas",0,✓,
2020,Minari,Lee Isaac Chung,0,✓,
2020,Sound of Metal,Screenplay: Abraham & Darius Marder; Story: Derek Cianfrance & D. Marder,0,✓,
2020,The Trial of the Chicago 7,Aaron Sorkin,0,✓,
2021,Belfast,Kenneth Branagh‡,1,✓,
2021,Don't Look Up,Screenplay: Adam McKay; Story: McKay & David Sirota,0,✓,
2021,King Richard,Zach Baylin,0,✓,
2021,Licorice Pizza,Paul Thomas Anderson,0,✓,
2021,The Worst Person in the World,Joachim Trier & Eskil Vogt,0,✓,
2022,Everything Everywhere All at Once,Daniel Kwan and Daniel Scheinert,1,✓,
2022,The Banshees of Inisherin,Martin McDonagh,0,✓,
2022,The Fabelmans,Tony Kushner & Steven Spielberg,0,✓,
2022,Tár,Todd Field,0,✓,
2022,Triangle of Sadness,Ruben Östlund,0,✓,
